id,group,durability,thickness,layers,foam,solvent
139,10,74,1,3,3,0.25
140,10,84,1,3,3,0.25
141,10,304,1,3,3,0.25
142,10,175,1,3,3,0.25
143,10,108,1,3,3,0.25
144,10,170,1,3,3,0.25
145,10,203,1,3,3,0.25
146,10,245,1,3,3,0.25
147,10,178,1,3,3,0.25
148,10,156,1,3,3,0.25
149,10,96,1,3,3,0.25
150,10,340,1,3,3,0.25
151,11,79,1,3,3,0.375
152,11,150,1,3,3,0.375
153,11,405,1,3,3,0.375
154,11,460,1,3,3,0.375
155,11,130,1,3,3,0.375
156,11,236,1,3,3,0.375
157,11,204,1,3,3,0.375
158,11,361,1,3,3,0.375
159,11,278,1,3,3,0.375
160,11,193,1,3,3,0.375
161,11,327,1,3,3,0.375
162,11,194,1,3,3,0.375
163,11,508,1,3,3,0.375
164,11,356,1,3,3,0.375
165,11,589,1,3,3,0.375
166,12,579,1,3,3,0.5
167,12,49,1,3,3,0.5
168,12,327,1,3,3,0.5
169,12,320,1,3,3,0.5
170,12,219,1,3,3,0.5
171,12,681,1,3,3,0.5
172,12,306,1,3,3,0.5
173,12,443,1,3,3,0.5
174,12,473,1,3,3,0.5
175,12,753,1,3,3,0.5
176,12,182,1,3,3,0.5
177,12,742,1,3,3,0.5
178,12,412,1,3,3,0.5
179,12,168,1,3,3,0.5
180,12,421,1,3,3,0.5
181,13,247,1,3,3.5,0.25
182,13,205,1,3,3.5,0.25
183,13,277,1,3,3.5,0.25
184,13,63,1,3,3.5,0.25
185,13,116,1,3,3.5,0.25
186,13,138,1,3,3.5,0.25
187,13,36,1,3,3.5,0.25
188,13,216,1,3,3.5,0.25
189,13,145,1,3,3.5,0.25
190,13,443,1,3,3.5,0.25
191,13,296,1,3,3.5,0.25
192,13,282,1,3,3.5,0.25
193,13,272,1,3,3.5,0.25
194,13,178,1,3,3.5,0.25
195,13,302,1,3,3.5,0.25
196,14,438,1,3,3.5,0.375
197,14,445,1,3,3.5,0.375
198,14,325,1,3,3.5,0.375
199,14,288,1,3,3.5,0.375
200,14,173,1,3,3.5,0.375
201,14,430,1,3,3.5,0.375
202,14,488,1,3,3.5,0.375
203,14,222,1,3,3.5,0.375
204,14,133,1,3,3.5,0.375
205,14,157,1,3,3.5,0.375
206,14,241,1,3,3.5,0.375
207,14,504,1,3,3.5,0.375
208,14,462,1,3,3.5,0.375
209,14,47,1,3,3.5,0.375
210,14,276,1,3,3.5,0.375
211,15,209,1,3,3.5,0.5
212,15,355,1,3,3.5,0.5
213,15,101,1,3,3.5,0.5
214,15,345,1,3,3.5,0.5
215,15,606,1,3,3.5,0.5
216,15,128,1,3,3.5,0.5
217,15,561,1,3,3.5,0.5
218,15,261,1,3,3.5,0.5
219,15,396,1,3,3.5,0.5
220,15,132,1,3,3.5,0.5
221,15,411,1,3,3.5,0.5
222,15,383,1,3,3.5,0.5
223,15,149,1,3,3.5,0.5
224,15,155,1,3,3.5,0.5
225,15,301,1,3,3.5,0.5
226,16,216,1,3,4,0.25
227,16,394,1,3,4,0.25
228,16,217,1,3,4,0.25
229,16,155,1,3,4,0.25
230,16,198,1,3,4,0.25
231,16,261,1,3,4,0.25
232,16,200,1,3,4,0.25
233,16,203,1,3,4,0.25
234,16,169,1,3,4,0.25
235,16,365,1,3,4,0.25
236,16,241,1,3,4,0.25
237,16,364,1,3,4,0.25
238,16,364,1,3,4,0.25
239,16,296,1,3,4,0.25
240,16,244,1,3,4,0.25
241,17,403,1,3,4,0.375
242,17,223,1,3,4,0.375
243,17,304,1,3,4,0.375
244,17,152,1,3,4,0.375
245,17,335,1,3,4,0.375
246,17,339,1,3,4,0.375
247,17,365,1,3,4,0.375
248,17,372,1,3,4,0.375
249,17,181,1,3,4,0.375
250,17,318,1,3,4,0.375
251,17,456,1,3,4,0.375
252,17,308,1,3,4,0.375
253,17,182,1,3,4,0.375
254,17,331,1,3,4,0.375
255,17,393,1,3,4,0.375
256,18,402,1,3,4,0.5
257,18,633,1,3,4,0.5
258,18,158,1,3,4,0.5
259,18,223,1,3,4,0.5
260,18,665,1,3,4,0.5
261,18,37,1,3,4,0.5
262,18,305,1,3,4,0.5
263,18,529,1,3,4,0.5
264,18,487,1,3,4,0.5
265,18,294,1,3,4,0.5
266,18,492,1,3,4,0.5
267,18,276,1,3,4,0.5
268,18,218,1,3,4,0.5
269,18,622,1,3,4,0.5
270,18,322,1,3,4,0.5
271,19,104,1,4,3,0.25
272,19,272,1,4,3,0.25
273,19,582,1,4,3,0.25
274,19,410,1,4,3,0.25
275,19,574,1,4,3,0.25
276,19,410,1,4,3,0.25
277,19,445,1,4,3,0.25
278,19,189,1,4,3,0.25
279,19,375,1,4,3,0.25
280,19,99,1,4,3,0.25
281,19,578,1,4,3,0.25
282,19,560,1,4,3,0.25
283,19,481,1,4,3,0.25
284,19,280,1,4,3,0.25
285,19,494,1,4,3,0.25
286,20,480,1,4,3,0.375
287,20,296,1,4,3,0.375
288,20,168,1,4,3,0.375
289,20,262,1,4,3,0.375
290,20,582,1,4,3,0.375
291,20,751,1,4,3,0.375
292,20,328,1,4,3,0.375
293,20,244,1,4,3,0.375
294,20,311,1,4,3,0.375
295,20,215,1,4,3,0.375
296,20,366,1,4,3,0.375
297,20,41,1,4,3,0.375
298,20,384,1,4,3,0.375
299,20,145,1,4,3,0.375
300,20,355,1,4,3,0.375
301,21,347,1,4,3,0.5
302,21,933,1,4,3,0.5
303,21,808,1,4,3,0.5
304,21,641,1,4,3,0.5
305,21,796,1,4,3,0.5
306,21,545,1,4,3,0.5
307,21,268,1,4,3,0.5
308,21,595,1,4,3,0.5
309,21,472,1,4,3,0.5
310,21,947,1,4,3,0.5
311,21,992,1,4,3,0.5
312,21,96,1,4,3,0.5
313,21,833,1,4,3,0.5
314,21,436,1,4,3,0.5
315,21,169,1,4,3,0.5
316,22,163,1,4,3.5,0.25
317,22,301,1,4,3.5,0.25
318,22,283,1,4,3.5,0.25
319,22,319,1,4,3.5,0.25
320,22,234,1,4,3.5,0.25
321,22,369,1,4,3.5,0.25
322,22,754,1,4,3.5,0.25
323,22,732,1,4,3.5,0.25
324,22,599,1,4,3.5,0.25
325,22,320,1,4,3.5,0.25
326,22,212,1,4,3.5,0.25
327,22,1008,1,4,3.5,0.25
328,22,128,1,4,3.5,0.25
329,22,205,1,4,3.5,0.25
330,22,367,1,4,3.5,0.25
331,23,520,1,4,3.5,0.375
332,23,410,1,4,3.5,0.375
333,23,670,1,4,3.5,0.375
334,23,251,1,4,3.5,0.375
335,23,577,1,4,3.5,0.375
336,23,655,1,4,3.5,0.375
337,23,671,1,4,3.5,0.375
338,23,191,1,4,3.5,0.375
339,23,41,1,4,3.5,0.375
340,23,581,1,4,3.5,0.375
341,23,1070,1,4,3.5,0.375
342,23,513,1,4,3.5,0.375
343,23,183,1,4,3.5,0.375
344,23,505,1,4,3.5,0.375
345,23,539,1,4,3.5,0.375
346,24,320,1,4,3.5,0.5
347,24,565,1,4,3.5,0.5
348,24,997,1,4,3.5,0.5
349,24,574,1,4,3.5,0.5
350,24,367,1,4,3.5,0.5
351,24,111,1,4,3.5,0.5
352,24,972,1,4,3.5,0.5
353,24,262,1,4,3.5,0.5
354,24,352,1,4,3.5,0.5
355,24,520,1,4,3.5,0.5
356,24,169,1,4,3.5,0.5
357,24,498,1,4,3.5,0.5
358,24,486,1,4,3.5,0.5
359,24,103,1,4,3.5,0.5
360,24,512,1,4,3.5,0.5
361,25,175,1,4,4,0.25
362,25,120,1,4,4,0.25
363,25,788,1,4,4,0.25
364,25,508,1,4,4,0.25
365,25,428,1,4,4,0.25
366,25,104,1,4,4,0.25
367,25,136,1,4,4,0.25
368,25,357,1,4,4,0.25
369,25,768,1,4,4,0.25
370,25,547,1,4,4,0.25
371,25,550,1,4,4,0.25
372,25,268,1,4,4,0.25
373,25,403,1,4,4,0.25
374,25,198,1,4,4,0.25
375,25,431,1,4,4,0.25
376,26,465,1,4,4,0.375
377,26,560,1,4,4,0.375
378,26,171,1,4,4,0.375
379,26,781,1,4,4,0.375
380,26,634,1,4,4,0.375
381,26,718,1,4,4,0.375
382,26,329,1,4,4,0.375
383,26,830,1,4,4,0.375
384,26,588,1,4,4,0.375
385,26,411,1,4,4,0.375
386,26,488,1,4,4,0.375
387,26,350,1,4,4,0.375
388,26,633,1,4,4,0.375
389,26,164,1,4,4,0.375
390,26,445,1,4,4,0.375
391,27,731,1,4,4,0.5
392,27,703,1,4,4,0.5
393,27,627,1,4,4,0.5
394,27,699,1,4,4,0.5
395,27,542,1,4,4,0.5
396,27,594,1,4,4,0.5
397,27,135,1,4,4,0.5
398,27,436,1,4,4,0.5
399,27,741,1,4,4,0.5
400,27,362,1,4,4,0.5
401,27,343,1,4,4,0.5
402,27,641,1,4,4,0.5
403,27,726,1,4,4,0.5
404,27,272,1,4,4,0.5
405,27,236,1,4,4,0.5
406,28,459,1.5,2,3,0.25
407,28,873,1.5,2,3,0.25
408,28,335,1.5,2,3,0.25
409,28,230,1.5,2,3,0.25
410,28,260,1.5,2,3,0.25
411,28,744,1.5,2,3,0.25
412,28,698,1.5,2,3,0.25
413,28,866,1.5,2,3,0.25
414,28,65,1.5,2,3,0.25
415,28,686,1.5,2,3,0.25
416,28,783,1.5,2,3,0.25
417,28,105,1.5,2,3,0.25
418,28,1218,1.5,2,3,0.25
419,28,286,1.5,2,3,0.25
420,28,119,1.5,2,3,0.25
421,29,1102,1.5,2,3,0.375
422,29,586,1.5,2,3,0.375
423,29,543,1.5,2,3,0.375
424,29,617,1.5,2,3,0.375
425,29,272,1.5,2,3,0.375
426,29,332,1.5,2,3,0.375
427,29,1165,1.5,2,3,0.375
428,29,427,1.5,2,3,0.375
429,29,490,1.5,2,3,0.375
430,29,595,1.5,2,3,0.375
431,29,1129,1.5,2,3,0.375
432,29,422,1.5,2,3,0.375
433,29,431,1.5,2,3,0.375
434,29,324,1.5,2,3,0.375
435,29,322,1.5,2,3,0.375
436,30,484,1.5,2,3,0.5
437,30,1117,1.5,2,3,0.5
438,30,1163,1.5,2,3,0.5
439,30,436,1.5,2,3,0.5
440,30,541,1.5,2,3,0.5
441,30,1036,1.5,2,3,0.5
442,30,251,1.5,2,3,0.5
443,30,743,1.5,2,3,0.5
444,30,1164,1.5,2,3,0.5
445,30,727,1.5,2,3,0.5
446,30,414,1.5,2,3,0.5
447,30,289,1.5,2,3,0.5
448,30,18,1.5,2,3,0.5
449,30,61,1.5,2,3,0.5
450,30,1110,1.5,2,3,0.5
451,31,525,1.5,2,3.5,0.25
452,31,271,1.5,2,3.5,0.25
453,31,1092,1.5,2,3.5,0.25
454,31,465,1.5,2,3.5,0.25
455,31,394,1.5,2,3.5,0.25
456,31,563,1.5,2,3.5,0.25
457,31,35,1.5,2,3.5,0.25
458,31,489,1.5,2,3.5,0.25
459,31,372,1.5,2,3.5,0.25
460,31,427,1.5,2,3.5,0.25
461,31,335,1.5,2,3.5,0.25
462,31,826,1.5,2,3.5,0.25
463,31,419,1.5,2,3.5,0.25
464,31,612,1.5,2,3.5,0.25
465,31,778,1.5,2,3.5,0.25
466,32,65,1.5,2,3.5,0.375
467,32,1174,1.5,2,3.5,0.375
468,32,986,1.5,2,3.5,0.375
469,32,1400,1.5,2,3.5,0.375
470,32,736,1.5,2,3.5,0.375
471,32,43,1.5,2,3.5,0.375
472,32,893,1.5,2,3.5,0.375
473,32,952,1.5,2,3.5,0.375
474,32,578,1.5,2,3.5,0.375
475,32,481,1.5,2,3.5,0.375
476,32,541,1.5,2,3.5,0.375
477,32,716,1.5,2,3.5,0.375
478,32,634,1.5,2,3.5,0.375
479,32,811,1.5,2,3.5,0.375
480,32,892,1.5,2,3.5,0.375
481,33,514,1.5,2,3.5,0.5
482,33,874,1.5,2,3.5,0.5
483,33,1177,1.5,2,3.5,0.5
484,33,1289,1.5,2,3.5,0.5
485,33,884,1.5,2,3.5,0.5
486,33,408,1.5,2,3.5,0.5
487,33,638,1.5,2,3.5,0.5
488,33,646,1.5,2,3.5,0.5
489,33,574,1.5,2,3.5,0.5
490,33,821,1.5,2,3.5,0.5
491,33,374,1.5,2,3.5,0.5
492,33,276,1.5,2,3.5,0.5
493,33,749,1.5,2,3.5,0.5
494,33,1115,1.5,2,3.5,0.5
495,33,441,1.5,2,3.5,0.5
496,34,727,1.5,2,4,0.25
497,34,916,1.5,2,4,0.25
498,34,866,1.5,2,4,0.25
499,34,360,1.5,2,4,0.25
500,34,554,1.5,2,4,0.25
501,34,471,1.5,2,4,0.25
502,34,1149,1.5,2,4,0.25
503,34,337,1.5,2,4,0.25
504,34,305,1.5,2,4,0.25
505,34,798,1.5,2,4,0.25
506,34,331,1.5,2,4,0.25
507,34,396,1.5,2,4,0.25
508,34,1112,1.5,2,4,0.25
509,34,298,1.5,2,4,0.25
510,34,359,1.5,2,4,0.25
511,35,450,1.5,2,4,0.375
512,35,169,1.5,2,4,0.375
513,35,239,1.5,2,4,0.375
514,35,723,1.5,2,4,0.375
515,35,621,1.5,2,4,0.375
516,35,986,1.5,2,4,0.375
517,35,809,1.5,2,4,0.375
518,35,961,1.5,2,4,0.375
519,35,607,1.5,2,4,0.375
520,35,899,1.5,2,4,0.375
521,35,745,1.5,2,4,0.375
522,35,225,1.5,2,4,0.375
523,35,405,1.5,2,4,0.375
524,35,258,1.5,2,4,0.375
525,35,421,1.5,2,4,0.375
526,36,755,1.5,2,4,0.5
527,36,418,1.5,2,4,0.5
528,36,910,1.5,2,4,0.5
529,36,139,1.5,2,4,0.5
530,36,459,1.5,2,4,0.5
531,36,657,1.5,2,4,0.5
532,36,1729,1.5,2,4,0.5
533,36,833,1.5,2,4,0.5
534,36,445,1.5,2,4,0.5
535,36,237,1.5,2,4,0.5
536,36,722,1.5,2,4,0.5
537,36,266,1.5,2,4,0.5
538,36,661,1.5,2,4,0.5
539,36,1096,1.5,2,4,0.5
540,36,59,1.5,2,4,0.5
541,37,1320,1.5,3,3,0.25
542,37,598,1.5,3,3,0.25
543,37,912,1.5,3,3,0.25
544,37,727,1.5,3,3,0.25
545,37,427,1.5,3,3,0.25
546,37,749,1.5,3,3,0.25
547,37,525,1.5,3,3,0.25
548,37,880,1.5,3,3,0.25
549,37,1342,1.5,3,3,0.25
550,37,150,1.5,3,3,0.25
551,37,721,1.5,3,3,0.25
552,37,655,1.5,3,3,0.25
553,37,848,1.5,3,3,0.25
554,37,920,1.5,3,3,0.25
555,37,2095,1.5,3,3,0.25
556,38,305,1.5,3,3,0.375
557,38,358,1.5,3,3,0.375
558,38,336,1.5,3,3,0.375
559,38,165,1.5,3,3,0.375
560,38,1287,1.5,3,3,0.375
561,38,890,1.5,3,3,0.375
562,38,811,1.5,3,3,0.375
563,38,820,1.5,3,3,0.375
564,38,551,1.5,3,3,0.375
565,38,882,1.5,3,3,0.375
566,38,313,1.5,3,3,0.375
567,38,1457,1.5,3,3,0.375
568,38,1290,1.5,3,3,0.375
569,38,1313,1.5,3,3,0.375
570,38,312,1.5,3,3,0.375
571,39,451,1.5,3,3,0.5
572,39,837,1.5,3,3,0.5
573,39,1200,1.5,3,3,0.5
574,39,1325,1.5,3,3,0.5
575,39,998,1.5,3,3,0.5
576,39,1042,1.5,3,3,0.5
577,39,318,1.5,3,3,0.5
578,39,601,1.5,3,3,0.5
579,39,466,1.5,3,3,0.5
580,39,492,1.5,3,3,0.5
581,39,2001,1.5,3,3,0.5
582,39,1112,1.5,3,3,0.5
583,39,550,1.5,3,3,0.5
584,39,909,1.5,3,3,0.5
585,39,623,1.5,3,3,0.5
586,40,745,1.5,3,3.5,0.25
587,40,391,1.5,3,3.5,0.25
588,40,1112,1.5,3,3.5,0.25
589,40,367,1.5,3,3.5,0.25
590,40,2289,1.5,3,3.5,0.25
591,40,647,1.5,3,3.5,0.25
592,40,1165,1.5,3,3.5,0.25
593,40,625,1.5,3,3.5,0.25
594,40,746,1.5,3,3.5,0.25
595,40,411,1.5,3,3.5,0.25
596,40,624,1.5,3,3.5,0.25
597,40,865,1.5,3,3.5,0.25
598,40,434,1.5,3,3.5,0.25
599,40,988,1.5,3,3.5,0.25
600,40,217,1.5,3,3.5,0.25
601,41,778,1.5,3,3.5,0.375
602,41,791,1.5,3,3.5,0.375
603,41,302,1.5,3,3.5,0.375
604,41,734,1.5,3,3.5,0.375
605,41,581,1.5,3,3.5,0.375
606,41,1467,1.5,3,3.5,0.375
607,41,504,1.5,3,3.5,0.375
608,41,1381,1.5,3,3.5,0.375
609,41,628,1.5,3,3.5,0.375
610,41,1290,1.5,3,3.5,0.375
611,41,1253,1.5,3,3.5,0.375
612,41,774,1.5,3,3.5,0.375
613,41,252,1.5,3,3.5,0.375
614,41,780,1.5,3,3.5,0.375
615,41,1180,1.5,3,3.5,0.375
616,42,803,1.5,3,3.5,0.5
617,42,1155,1.5,3,3.5,0.5
618,42,1841,1.5,3,3.5,0.5
619,42,1138,1.5,3,3.5,0.5
620,42,806,1.5,3,3.5,0.5
621,42,633,1.5,3,3.5,0.5
622,42,1067,1.5,3,3.5,0.5
623,42,867,1.5,3,3.5,0.5
624,42,1089,1.5,3,3.5,0.5
625,42,912,1.5,3,3.5,0.5
626,42,1180,1.5,3,3.5,0.5
627,42,565,1.5,3,3.5,0.5
628,42,1346,1.5,3,3.5,0.5
629,42,970,1.5,3,3.5,0.5
630,42,1267,1.5,3,3.5,0.5
631,43,1096,1.5,3,4,0.25
632,43,640,1.5,3,4,0.25
633,43,405,1.5,3,4,0.25
634,43,1273,1.5,3,4,0.25
635,43,225,1.5,3,4,0.25
636,43,495,1.5,3,4,0.25
637,43,805,1.5,3,4,0.25
638,43,118,1.5,3,4,0.25
639,43,838,1.5,3,4,0.25
640,43,748,1.5,3,4,0.25
641,43,1383,1.5,3,4,0.25
642,43,854,1.5,3,4,0.25
643,43,1156,1.5,3,4,0.25
644,43,1392,1.5,3,4,0.25
645,43,1544,1.5,3,4,0.25
646,44,853,1.5,3,4,0.375
647,44,271,1.5,3,4,0.375
648,44,1085,1.5,3,4,0.375
649,44,344,1.5,3,4,0.375
650,44,482,1.5,3,4,0.375
651,44,1500,1.5,3,4,0.375
652,44,519,1.5,3,4,0.375
653,44,789,1.5,3,4,0.375
654,44,677,1.5,3,4,0.375
655,44,709,1.5,3,4,0.375
656,44,697,1.5,3,4,0.375
657,44,762,1.5,3,4,0.375
658,44,296,1.5,3,4,0.375
659,44,1016,1.5,3,4,0.375
660,44,1187,1.5,3,4,0.375
661,45,718,1.5,3,4,0.5
662,45,785,1.5,3,4,0.5
663,45,812,1.5,3,4,0.5
664,45,505,1.5,3,4,0.5
665,45,517,1.5,3,4,0.5
666,45,510,1.5,3,4,0.5
667,45,576,1.5,3,4,0.5
668,45,734,1.5,3,4,0.5
669,45,1331,1.5,3,4,0.5
670,45,932,1.5,3,4,0.5
671,45,794,1.5,3,4,0.5
672,45,849,1.5,3,4,0.5
673,45,1233,1.5,3,4,0.5
674,45,693,1.5,3,4,0.5
675,45,643,1.5,3,4,0.5
676,46,818,1.5,4,3,0.25
677,46,561,1.5,4,3,0.25
678,46,1017,1.5,4,3,0.25
679,46,1113,1.5,4,3,0.25
680,46,181,1.5,4,3,0.25
681,46,1209,1.5,4,3,0.25
682,46,1920,1.5,4,3,0.25
683,46,984,1.5,4,3,0.25
684,46,1581,1.5,4,3,0.25
685,46,342,1.5,4,3,0.25
686,46,1455,1.5,4,3,0.25
687,46,507,1.5,4,3,0.25
688,46,1290,1.5,4,3,0.25
689,46,1532,1.5,4,3,0.25
690,46,1488,1.5,4,3,0.25
691,47,383,1.5,4,3,0.375
692,47,796,1.5,4,3,0.375
693,47,2072,1.5,4,3,0.375
694,47,670,1.5,4,3,0.375
695,47,275,1.5,4,3,0.375
696,47,438,1.5,4,3,0.375
697,47,1066,1.5,4,3,0.375
698,47,313,1.5,4,3,0.375
699,47,872,1.5,4,3,0.375
700,47,1167,1.5,4,3,0.375
701,47,548,1.5,4,3,0.375
702,47,1268,1.5,4,3,0.375
703,47,439,1.5,4,3,0.375
704,47,1999,1.5,4,3,0.375
705,47,768,1.5,4,3,0.375
706,48,816,1.5,4,3,0.5
707,48,699,1.5,4,3,0.5
708,48,272,1.5,4,3,0.5
709,48,667,1.5,4,3,0.5
710,48,1373,1.5,4,3,0.5
711,48,496,1.5,4,3,0.5
712,48,558,1.5,4,3,0.5
713,48,407,1.5,4,3,0.5
714,48,381,1.5,4,3,0.5
715,48,1026,1.5,4,3,0.5
716,48,162,1.5,4,3,0.5
717,48,1699,1.5,4,3,0.5
718,48,60,1.5,4,3,0.5
719,48,1228,1.5,4,3,0.5
720,48,1990,1.5,4,3,0.5
721,49,578,1.5,4,3.5,0.25
722,49,729,1.5,4,3.5,0.25
723,49,753,1.5,4,3.5,0.25
724,49,655,1.5,4,3.5,0.25
725,49,1085,1.5,4,3.5,0.25
726,49,522,1.5,4,3.5,0.25
727,49,933,1.5,4,3.5,0.25
728,49,658,1.5,4,3.5,0.25
729,49,185,1.5,4,3.5,0.25
730,49,2291,1.5,4,3.5,0.25
731,49,1457,1.5,4,3.5,0.25
732,49,831,1.5,4,3.5,0.25
733,49,1482,1.5,4,3.5,0.25
734,49,435,1.5,4,3.5,0.25
735,49,1061,1.5,4,3.5,0.25
736,50,1424,1.5,4,3.5,0.375
737,50,1398,1.5,4,3.5,0.375
738,50,485,1.5,4,3.5,0.375
739,50,191,1.5,4,3.5,0.375
740,50,651,1.5,4,3.5,0.375
741,50,1050,1.5,4,3.5,0.375
742,50,801,1.5,4,3.5,0.375
743,50,1511,1.5,4,3.5,0.375
744,50,1746,1.5,4,3.5,0.375
745,50,1918,1.5,4,3.5,0.375
746,50,1961,1.5,4,3.5,0.375
747,50,472,1.5,4,3.5,0.375
748,50,1522,1.5,4,3.5,0.375
749,50,432,1.5,4,3.5,0.375
750,50,1489,1.5,4,3.5,0.375
751,51,1798,1.5,4,3.5,0.5
752,51,1460,1.5,4,3.5,0.5
753,51,1051,1.5,4,3.5,0.5
754,51,348,1.5,4,3.5,0.5
755,51,395,1.5,4,3.5,0.5
756,51,2695,1.5,4,3.5,0.5
757,51,665,1.5,4,3.5,0.5
758,51,666,1.5,4,3.5,0.5
759,51,611,1.5,4,3.5,0.5
760,51,1281,1.5,4,3.5,0.5
761,51,1376,1.5,4,3.5,0.5
762,51,1298,1.5,4,3.5,0.5
763,51,1247,1.5,4,3.5,0.5
764,51,147,1.5,4,3.5,0.5
765,51,1586,1.5,4,3.5,0.5
766,52,1012,1.5,4,4,0.25
767,52,1066,1.5,4,4,0.25
768,52,296,1.5,4,4,0.25
769,52,1162,1.5,4,4,0.25
770,52,403,1.5,4,4,0.25
771,52,884,1.5,4,4,0.25
772,52,1573,1.5,4,4,0.25
773,52,755,1.5,4,4,0.25
774,52,1173,1.5,4,4,0.25
775,52,569,1.5,4,4,0.25
776,52,1153,1.5,4,4,0.25
777,52,743,1.5,4,4,0.25
778,52,556,1.5,4,4,0.25
779,52,834,1.5,4,4,0.25
780,52,1216,1.5,4,4,0.25
781,53,1006,1.5,4,4,0.375
782,53,1558,1.5,4,4,0.375
783,53,1463,1.5,4,4,0.375
784,53,910,1.5,4,4,0.375
