state,fips,county,air_pollution,alcohol_driving_deaths,days_poor_mental_health,days_poor_physical_health,dentists,diabetes,drinking_excessive,exercise_access,flu_vaccinations,food_env_index,frequent_ment_distress,frequent_phys_distress,homeownership,income_inequality,injury_deaths,life_expectancy,life_expectancy_white,median_household_income,obesity,physical_inactivity,poor_fair_health,pop_non_english_speaker,premature_age_adjusted_mortality,premature_death,premature_death_white,prevent_hospital_stays,prevent_hospital_stays_white,primary_care_physicians,sexually_transmitted_infections,smoking,social_associations,some_college,unemployment,uninsured,bonding,bridging,linking,socialcap,pop_female,median_age,pop,pop_white,pop_black,pop_natam,pop_asian,pop_pacific,pop_hisplat,pop_over_15,pop_never_married,pop_some_college,employees_muni,employees_state,employees_fed,median_income,gini,pop_labor_force,pop_unemployed,median_monthly_housing_cost,total_adherents,protestant,catholic,orthodox,muslim,jewish,other_adherents,county_name,urban,region,democrat_2000,democrat_2004,democrat_2008,democrat_2012,democrat_2016,democrat_2020,republican_2000,republican_2004,republican_2008,republican_2012,republican_2016,republican_2020,gap_2000,gap_2004,gap_2008,gap_2012,gap_2016,gap_2020
AL,01021,Chilton County,11.2,0.1604938272,4.8532441372,4.7733822963,2.944307e-4,0.186,0.1450937458,0.4629379282,0.42,8.1,0.1517709983,0.145909916,0.7484926273,5.1076679484,94.075942464,74.926750554,74.469167467,47547,0.377,0.332,0.2118546291,0.0188761752,519.63080554,10019.3128,10549.629977,6148,5906,2.042345e-4,354,0.2018897906,15.204120998,0.3990556964,0.0360957075,0.1375970587,0.6560472249984741,0.17884975671768188,0.21554884314537048,1.050445795059204,0.5079557128181714,38.9,43805,0.8331697294829358,0.09551421070654036,0.005798424837347335,0.0042689190731651635,0,0.07695468553818058,35065,0.25130471980607444,0.15797283415135258,18.217098504736903,26.93756420499943,8.583495034813378,43501,0.4693,18946,67.08540061226644,612,698.5770914006828,676.6033499072016,16.245446005086727,0,0,0,5.7282954883944734,Chilton,urbanized_area,East South Central,31.8,22.6,20.7,19.5,15.8,15.9,66.7,76.9,78.5,79.8,82.1,83.3,34.900000000000006,54.3,57.8,60.3,66.3,67.39999999999999
AL,01023,Choctaw County,10.1,0.5,4.9878824765,4.9332046304,4.672533e-4,0.174,0.1164229062,0.2893426654,0.34,6.4,0.157700207,0.1530866335,0.7968224299,5.8600957203,104.17943375,74.053901547,74.510496938,39907,0.413,0.362,0.2486353129,0.0041115769,536.1178615,12479.822147,12110.493219,4968,4632,3.862495e-4,563.9,0.1879324829,19.312475859,0.5800865801,0.0553898594,0.1134207871,0.6208484172821045,0.22010686993598935,0.2316698580980301,1.0726251602172852,0.5240370033363664,45.8,13188,0.5653624507127691,0.42333939945404914,3.0330603579011223e-4,6.066120715802245e-4,0,0.005383682135274492,11010,0.2654859218891916,0.20488322717622082,21.307249014255387,18.729147710039427,8.113436457385502,32122,0.486,4769,98.13378066680646,440,701.4214589797244,685.7637636193087,4.329316689515839,0,0,0,11.328378670899777,Choctaw,rural,East South Central,50.3,45.7,46.1,47.5,42.6,41.9,48.8,53.9,53.5,52.1,56.3,57.6,1.5,8.199999999999996,7.399999999999999,4.600000000000001,13.699999999999996,15.700000000000005
AL,01025,Clarke County,10.4,0.2972972973,5.0837367294,5.127337236,2.926421e-4,0.224,0.1186901052,0.2527000348,0.28,5.4,0.1637406837,0.1591394417,0.6747168198,8.4689826303,77.039708233,74.787459811,76.913655779,40741,0.341,0.346,0.2523508481,0.0013030448,492.46124259,11144.037371,8441.8891102,6299,5426,5.397999e-4,643.6,0.2057965532,16.193995765,0.382299601,0.0747344959,0.1192636629,0.5678370594978333,0.2036644816398621,0.204605296254158,0.976106822490692,0.5269441624365482,42.2,24625,0.5323045685279187,0.4566903553299492,5.685279187817259e-4,0.00515736040609137,8.934010152284264e-4,0.0023553299492385786,20199,0.3329867815238378,0.1660507614213198,20.30456852791878,12.020304568527918,5.969543147208121,33827,0.5194,9357,152.18552955006948,523,792.3973212557581,788.2940425037742,0.4258119459605931,0,0,0,3.6774668060233036,Clarke,urban_cluster,East South Central,43.5,40.6,44,45.7,44.1,43.8,55.7,59.1,55.6,53.9,54.8,55.8,12.200000000000005,18.5,11.6,8.199999999999996,10.699999999999996,12
AL,01027,Clay County,10.6,0.4,4.9829276834,4.9589695308,1.506591e-4,0.135,0.1328650366,0.6378122308,0.43,7.8,0.1556723269,0.1505146385,0.7236440031,5.0792586055,87.74408471,75.237156152,75.305610168,39201,0.406,0.326,0.2379591741,0.00401322,530.99856311,10461.83432,10318.390704,5249,5111,3.740555e-4,463.8,0.1962035415,10.473554275,0.3532303371,0.0390742915,0.1388333809,0.6230073571205139,0.22015531361103055,0.2335112690925598,1.076673984527588,0.5173416871783397,43.8,13407,0.8315059297381965,0.1476094577459536,0.008950548221078542,4.4752741105392703e-4,0,0.03110315506824793,11066,0.2151635640701247,0.2067576639069143,29.2384575221899,24.315656000596704,5.892444245543373,37287,0.4574,5888,64.36820652173914,455,739.6640826873385,726.2417456215906,13.350559862187769,0,0,0,0.0717772035601493,Clay,rural,East South Central,34.8,28.8,25.8,26.7,18.7,18.3,63.2,70.3,73.1,72.3,79.2,80.8,28.40000000000001,41.5,47.3,45.599999999999994,60.5,62.5
AL,01029,Cleburne County,11,0.2916666667,4.8672154562,4.546700394,NA,0.125,0.1446296652,0.4148410366,0.34,8,0.1492484469,0.1361781588,0.7565490744,4.7756800772,93.446715348,74.766028857,74.560333869,46495,0.373,0.313,0.1928440781,0.007083658,537.92248086,11087.984454,11333.866864,6416,6218,2.684564e-4,187.9,0.1837446577,8.0536912752,0.4501416431,0.0424865053,0.1334452371,0.6688573956489563,0.21709750592708588,0.22197721898555756,1.1079320907592771,0.5068612356918134,41.7,14939,0.9456456255438784,0.02838208715442801,0.0028783720463217083,0.0054220496686525205,0,0.02383024298815182,12070,0.20273405136702569,0.1810696833790749,27.17718722806078,16.734721199544815,10.442466028515964,37396,0.4569,6232,78.46598202824133,573,765.6291744589902,765.5623831151482,0,0,0,0,0.0667913438418381,Cleburne,rural,East South Central,32.7,24,18,15.4,10.4,9.3,65.5,75.4,80.3,83.6,87.4,89.7,32.8,51.400000000000006,62.3,68.19999999999999,77,80.4
AL,01031,Coffee County,10.9,0.358490566,4.5674364995,4.4201197865,3.467607e-4,0.161,0.1518329425,0.5372387283,0.37,7.5,0.1409976691,0.1343336232,0.6479357219,4.658772634,66.503583804,76.710348557,76.554122166,55122,0.342,0.308,0.1942582681,0.0138017044,429.80914405,8175.3623921,8025.4524318,4863,4828,5.397694e-4,584.1,0.1744475759,14.650884836,0.6377096238,0.0394869578,0.1199236659,0.6371080875396729,0.2099817842245102,0.2908210754394531,1.1379109621047974,0.5060991130342842,39.3,51073,0.7627513559023359,0.17296810447790417,0.010612260881483367,0.01290309948505081,0,0.06661053785757641,41118,0.24641276326669584,0.2270083997415464,29.11518806414348,17.660995046306265,60.69743308597498,49821,0.4486,23030,60.399478940512374,705,661.1075518539282,613.9585168575319,31.032273564507086,0,0,0,16.116761431889163,Coffee,urban_cluster,East South Central,33.8,25.4,25.2,24.9,20.3,22.8,64.4,73.9,74.1,74.2,76.4,75.9,30.60000000000001,48.50000000000001,48.89999999999999,49.3,56.10000000000001,53.10000000000001
AL,01033,Colbert County,10.7,0.2236842105,4.5824058974,4.6086376267,4.565209e-4,0.162,0.146975929,0.5573234365,0.45,7.4,0.1435762148,0.1388070038,0.7270516996,4.7582009157,77.833868747,74.665950403,74.541935121,49055,0.306,0.366,0.2091445435,0.003404868,510.43682764,10644.992124,10590.51957,6414,6227,6.422018e-4,526.6,0.1865882106,16.880733945,0.5466543892,0.0461776593,0.0968386252,0.6836192011833191,0.22292102873325348,0.2442941963672638,1.1508344411849976,0.5197391384219712,42.5,54435,0.7957196656562873,0.16022779461743364,0.0074216956002571876,0.005033526223936806,3.4904013961605586e-4,0.02412051070083586,44836,0.2444910339905433,0.2218609350601635,29.65004133370074,22.24671626710756,13.226784238082116,45477,0.4383,23833,69.35761339319431,644,694.5873447490263,668.4610862056295,25.997648269273167,0,0,0,0.12861027412361284,Colbert,urbanized_area,East South Central,49,44.3,39.1,39.2,29.3,29.9,48.8,55.1,59.3,59.6,67.2,68.9,0.20000000000000284,10.800000000000004,20.199999999999996,20.4,37.900000000000006,39.00000000000001
AL,01035,Conecuh County,10.3,0.3125,5.3914879643,5.4337528108,1.629062e-4,0.259,0.1204270764,0.3701995767,0.44,5.6,0.1698271613,0.1689769889,0.7660690861,4.4522035786,94.425683786,75.25023311,75.769741444,32613,0.43,0.407,0.2860874779,0,528.82229203,10822.452428,9984.158364,12070,11498,4.009945e-4,665.7,0.2110751296,7.217900393,0.3626373626,0.0522919448,0.1203345531,0.5694568157196045,0.174270361661911,0.24639533460140228,0.9901224970817566,0.522491896592616,44.5,12649,0.5134002687959522,0.4647798244920547,0.0016602102933038186,3.162305320578702e-4,0,0.018262313226342003,10339,0.3169552181061998,0.1544786149102696,11.621472053126729,23.8754051703692,2.925132421535299,30434,0.4552,4614,144.99349804941482,395,570.7589960689446,550.1965527668582,0,0,0,0,20.562443302086486,Conecuh,urban_cluster,East South Central,50.1,45.2,49.4,50.6,46.8,46,48.6,54.3,50,49,51.9,53.4,1.5,9.099999999999994,0.6000000000000014,1.6000000000000014,5.100000000000001,7.399999999999999
AL,01037,Coosa County,11,0.2941176471,5.1021191231,5.0890163223,NA,0.208,0.1267054033,0.0642170032,0.39,6.9,0.1573006706,0.1543865537,0.8198878869,4.4343642229,115.54230339,73.819513253,72.541860283,42423,0.403,0.353,0.2491910328,0.0036145724,500.54755522,12691.204176,14178.881018,4956,4833,NA,483.5,0.2039996562,10.228752092,0.4286895411,0.0418190128,0.1302620142,0.6198719143867493,0.1943807154893875,0.2423949837684631,1.0566476583480835,0.5003194888178913,45.9,10955,0.654039251483341,0.33226837060702874,8.215426745778184e-4,0,0,0.001460520310360566,9422,0.28741243897261726,0.20219078046554084,20.447284345047922,11.592879963486991,20.08215426745778,34792,0.4372,4395,113.31058020477816,544,532.8018025825462,532.5418147153133,0,0,0,0,0.25998786723286244,Coosa,urban_cluster,East South Central,46.1,41.1,40.9,41.6,33.9,32.8,52.2,58.1,58.4,57.9,64.4,66.3,6.100000000000001,17,17.5,16.299999999999997,30.500000000000007,33.5
AL,01039,Covington County,10.5,0.2244897959,4.9065509126,4.6819404519,3.785216e-4,0.153,0.1350030218,0.5023434397,0.39,7.6,0.1489160768,0.1401217505,0.740271855,4.9163307041,80.625784233,73.994503819,74.065955835,40203,0.317,0.355,0.2266880625,0.003663836,546.12854034,11418.122816,11262.910198,9181,9150,5.122398e-4,512.2,0.1924945154,12.671195945,0.5361058151,0.0457834411,0.1210361769,0.6607294678688049,0.2187594622373581,0.21842816472053528,1.097917079925537,0.5166982062421707,43.4,37519,0.8464511314267438,0.1315866627575362,0.0033049921373170927,0.004211199658839522,2.1322529918174792e-4,0.015618753165063035,30711,0.21497183419621635,0.2179429089261441,25.93352701298009,18.20410991764173,7.596151283349769,39467,0.4486,16445,106.96260261477653,547,619.2506288891832,604.3161657619489,7.70554746458361,0,0,0,7.228915662650603,Covington,urban_cluster,East South Central,32.6,23.4,20.5,20.5,15,15.6,65.8,76,78.8,78.8,83.2,83.7,33.199999999999996,52.6,58.3,58.3,68.2,68.10000000000001
AL,01041,Crenshaw County,10.7,0.4117647059,4.8952137157,4.7414560381,1.446759e-4,0.182,0.146170099,0.2235006472,0.36,6.2,0.1504905077,0.1436408775,0.7381094527,5.4902610309,77.644216944,74.659042119,73.976981986,39057,0.38,0.335,0.2214693624,0.0116225723,535.43847355,9944.64447,10514.266311,7057,7353,1.441857e-4,793,0.1864692956,10.092999784,0.4490782714,0.0408066053,0.1226752504,0.6437963247299194,0.20095953345298767,0.2370840311050415,1.081839919090271,0.5106014712245781,41.4,13866,0.7147699408625414,0.2359007644598298,0.008149430261070244,0.013991057262368383,0,0.0182460695225732,11275,0.2839024390243902,0.1745276215202654,33.246790711091876,32.02077022933795,13.77470070676475,38937,0.4664,6089,63.88569551650518,511,631.6697828275564,615.6335394793614,0,0,0,0,16.036243348195022,Crenshaw,rural,East South Central,40.3,30.9,30.8,31.9,26.6,25.7,58.2,68.7,68.7,67.5,72,73.5,17.900000000000006,37.8,37.900000000000006,35.6,45.4,47.8
AL,01043,Cullman County,11.6,0.304,4.8876023362,4.6814213739,4.913593e-4,0.193,0.1488718146,0.4165360794,0.41,8.2,0.1465504739,0.1385632217,0.7458184185,4.4355847084,100.73744666,74.539745814,74.293379922,45796,0.369,0.367,0.2178649369,0.0057801226,493.62351555,10182.18218,10382.277671,6442,6462,5.558577e-4,233.2,0.1790107122,11.721346142,0.5037848997,0.0328046524,0.1265824677,0.686772346496582,0.2241740524768829,0.21230244636535645,1.123248815536499,0.5076924959915793,40.6,81703,0.9553627161793324,0.01160300111379019,0.004283808428087096,0.0064624310000856765,3.671835795503225e-5,0.04242194289071393,66508,0.20750887111324953,0.21759298924152112,24.662497093129996,14.161046717990772,7.4538266648715465,40997,0.4482,34034,57.64823411882235,664,781.0238041937168,715.8794119841803,57.383777330049995,0,0,0,7.760614879486606,Cullman,urban_cluster,East South Central,33,22.9,16.6,14.7,10,10.7,64.9,76.2,81.8,84.2,87.1,88.1,31.90000000000001,53.3,65.19999999999999,69.5,77.1,77.39999999999999
AL,01045,Dale County,11,0.2954545455,4.796090897,5.0212640196,3.472506e-4,0.158,0.1453796137,0.4638713657,0.41,6.7,0.1504696997,0.1486292591,0.601981789,5.0630993588,75.87530482,75.05295351,75.248496414,45309,0.372,0.32,0.2343310703,0.0100165131,500.93101771,10467.436009,10306.694438,5120,4693,1.828302e-4,747.6,0.2005739493,10.563523341,0.5764951321,0.0420477137,0.0969886392,0.6776794791221619,0.20363351702690125,0.2895182967185974,1.170831322669983,0.5034923977081772,37.1,49393,0.7329378656894702,0.19448099933188914,0.005203166440588747,0.01018362925920677,1.8221205433968375e-4,0.06061587674366813,39778,0.26798732967972244,0.24677585892737838,29.61958172210637,12.167716073127771,82.9874678598182,44711,0.4561,20085,104.40627333831218,654,492.1693100634813,469.2841933493861,5.532228214363893,0,0,0,17.352888499731346,Dale,urbanized_area,East South Central,31,24.6,27.3,28.5,23.5,26.2,67,74.7,71.9,70.6,73.6,72.5,36,50.1,44.60000000000001,42.099999999999994,50.099999999999994,46.3
AL,01047,Dallas County,11.1,0.5471698113,5.5911128935,5.6268779752,3.132341e-4,0.159,0.1133825645,0.5963715199,0.34,4.6,0.1803002782,0.1800303087,0.5978819785,6.0589055706,114.28571429,71.185071339,73.617842103,34035,0.431,0.269,0.2982689782,0.0011184491,663.93191481,14717.166071,10811.00196,7183,4948,7.395129e-4,951.2,0.2408899101,11.985209741,0.5067367729,0.0654777927,0.1037240769,0.5913202166557312,0.17651355266571045,0.24697932600975037,1.0148130655288696,0.5384860753281806,39.3,40755,0.2821003557845663,0.7036437246963563,3.925898662740768e-4,0.004490246595509753,5.643479327689854e-4,0.010035578456631089,32532,0.40729128242960777,0.20103054839896944,21.199852778800146,25.83732057416268,5.545331861121334,30065,0.4974,16763,137.3262542504325,582,605.7964399817434,584.2081241442264,12.23185759926974,0,0.6846188954815153,0.433591967138293,8.238247375627568,Dallas,urban_cluster,East South Central,59.4,60.2,67.1,69.7,68.3,68.5,39.9,39.5,32.6,30,30.8,30.9,19.5,20.700000000000003,34.49999999999999,39.7,37.5,37.6
AL,01049,DeKalb County,11.3,0.3037974684,5.0044055833,5.2677081423,2.801709e-4,0.128,0.1245824953,0.4503789956,0.4,8.2,0.1611928499,0.1634335966,0.7119240778,4.7936189608,93.233023586,74.458450235,73.580697926,39491,0.292,0.317,0.2595898149,0.0350565356,513.59820053,10747.783715,11886.274663,5868,5929,4.18895e-4,276.5,0.2102827079,8.5175307539,0.4580044296,0.0381692057,0.1731903394,0.6330255270004272,0.19046996533870697,0.183309867978096,1.006805419921875,0.5037784082928337,39,71194,0.862642919347136,0.014607972581959153,0.013526420765794871,0.002921594516391831,0.008989521588897941,0.14296148551844257,56732,0.2573150955369104,0.17852628030452006,27.052841531589742,15.689524398123437,5.379666825856112,38842,0.4648,29945,51.060277174820506,551,553.657061694019,512.7480347072803,37.365171778537174,0,0,0,3.5438552082014936,DeKalb,urban_cluster,East South Central,34.8,29.4,23.6,22,14,14.6,63.2,70,74.8,76.8,82.9,84.4,28.40000000000001,40.6,51.2,54.8,68.9,69.80000000000001
